,SettlementPoint,Year,Month,AveragePrice
322,LZ_AEN,2019,05,24.674966352624494
323,LZ_AEN,2019,06,24.42148817802504
324,LZ_AEN,2019,07,29.730538358008076
325,LZ_AEN,2019,08,126.6764064602961
326,LZ_AEN,2019,09,80.26038942976356
327,LZ_AEN,2019,10,29.297039030955588
328,LZ_AEN,2019,11,24.418414464534074
329,LZ_CPS,2016,01,19.20420981842636
330,LZ_CPS,2016,02,15.5283309352518
331,LZ_CPS,2016,03,16.910390835579516
332,LZ_CPS,2016,04,19.076509040333796
333,LZ_CPS,2016,05,18.48777927321669
334,LZ_CPS,2016,06,24.970639777468705
335,LZ_CPS,2016,07,27.97955585464334
336,LZ_CPS,2016,08,31.323970390309555
337,LZ_CPS,2016,09,28.142531293463144
338,LZ_CPS,2016,10,26.258761776581423
339,LZ_CPS,2016,11,21.7242280945758
340,LZ_CPS,2016,12,26.606123822341857
341,LZ_CPS,2017,01,23.773297442799457
342,LZ_CPS,2017,02,20.932652757078984
343,LZ_CPS,2017,03,23.87816711590296
344,LZ_CPS,2017,04,25.353143254520166
345,LZ_CPS,2017,05,26.544777927321665
346,LZ_CPS,2017,06,30.42770514603616
347,LZ_CPS,2017,07,32.12257065948856
348,LZ_CPS,2017,08,28.146944818304174
349,LZ_CPS,2017,09,25.144297635605007
350,LZ_CPS,2017,10,25.283082099596236
351,LZ_CPS,2017,11,23.57952712100139
352,LZ_CPS,2017,12,22.05370121130552
353,LZ_CPS,2018,01,41.33152086137281
354,LZ_CPS,2018,02,22.53061102831595
355,LZ_CPS,2018,03,25.305283018867925
356,LZ_CPS,2018,04,26.550876216968014
357,LZ_CPS,2018,05,36.076890982503365
358,LZ_CPS,2018,06,30.741627260083447
359,LZ_CPS,2018,07,79.1971601615074
360,LZ_CPS,2018,08,31.881413189771198
361,LZ_CPS,2018,09,27.523477051460358
362,LZ_CPS,2018,10,31.65228802153432
363,LZ_CPS,2018,11,32.05581363004172
364,LZ_CPS,2018,12,30.32981157469717
365,LZ_CPS,2019,01,26.807173620457604
366,LZ_CPS,2019,02,24.113383010432194
367,LZ_CPS,2019,03,29.365795148247976
368,LZ_CPS,2019,04,25.367162726008345
369,LZ_CPS,2019,05,26.245814266487212
370,LZ_CPS,2019,06,26.39815020862309
371,LZ_CPS,2019,07,30.690336473755046
372,LZ_CPS,2019,08,127.84628532974428
373,LZ_CPS,2019,09,82.52993045897078
374,LZ_CPS,2019,10,33.56981157469718
375,LZ_CPS,2019,11,25.58433936022253
376,LZ_HOUSTON,2016,01,19.782629455279082
377,LZ_HOUSTON,2016,02,15.496287769784173
378,LZ_HOUSTON,2016,03,17.219353099730455
379,LZ_HOUSTON,2016,04,19.136105702364397
380,LZ_HOUSTON,2016,05,19.91393001345895
381,LZ_HOUSTON,2016,06,29.934881780250347
382,LZ_HOUSTON,2016,07,29.926083445491255
383,LZ_HOUSTON,2016,08,33.58344549125168
384,LZ_HOUSTON,2016,09,29.046161335187765
385,LZ_HOUSTON,2016,10,28.55864064602961
386,LZ_HOUSTON,2016,11,20.444255910987483
387,LZ_HOUSTON,2016,12,25.74683714670256
388,LZ_HOUSTON,2017,01,24.82951547779273
389,LZ_HOUSTON,2017,02,23.534008941877797
390,LZ_HOUSTON,2017,03,28.759595687331537
391,LZ_HOUSTON,2017,04,32.98468706536856
392,LZ_HOUSTON,2017,05,32.37582772543742
393,LZ_HOUSTON,2017,06,33.685521557719056
394,LZ_HOUSTON,2017,07,34.73597577388964
395,LZ_HOUSTON,2017,08,30.043243606998654
396,LZ_HOUSTON,2017,09,27.421015299026426
397,LZ_HOUSTON,2017,10,31.354024226110365
398,LZ_HOUSTON,2017,11,26.348511821974967
399,LZ_HOUSTON,2017,12,21.984629878869445
400,LZ_HOUSTON,2018,01,38.06006729475101
401,LZ_HOUSTON,2018,02,22.386318926974667
402,LZ_HOUSTON,2018,03,23.947884097035043
403,LZ_HOUSTON,2018,04,24.740055632823363
404,LZ_HOUSTON,2018,05,35.563324360699866
405,LZ_HOUSTON,2018,06,31.819833101529902
406,LZ_HOUSTON,2018,07,79.64022880215343
407,LZ_HOUSTON,2018,08,32.17576043068641
408,LZ_HOUSTON,2018,09,27.73442280945758
409,LZ_HOUSTON,2018,10,31.798627187079408
410,LZ_HOUSTON,2018,11,31.744478442280943
411,LZ_HOUSTON,2018,12,30.479434724091522
412,LZ_HOUSTON,2019,01,25.557415881561237
413,LZ_HOUSTON,2019,02,21.64391952309985
414,LZ_HOUSTON,2019,03,28.092237196765495
415,LZ_HOUSTON,2019,04,24.267677329624476
416,LZ_HOUSTON,2019,05,25.154549125168234
417,LZ_HOUSTON,2019,06,27.234867872044504
418,LZ_HOUSTON,2019,07,30.034549125168233
419,LZ_HOUSTON,2019,08,126.84310901749663
420,LZ_HOUSTON,2019,09,80.87097357440891
421,LZ_HOUSTON,2019,10,30.659663526244955
422,LZ_HOUSTON,2019,11,24.191849791376917
423,LZ_LCRA,2016,01,19.11977135171486
424,LZ_LCRA,2016,02,15.4968345323741
425,LZ_LCRA,2016,03,16.808247978436658
426,LZ_LCRA,2016,04,18.398984700973575
427,LZ_LCRA,2016,05,18.190471063257068
